From,To,R,X,P,Q,Rpu,Xpu,Ppu,Qpu,PGmax,SGmax,Priority,droopQF,droopPV
0,1,0.13736,0.07616,151.07,73.17,0.003434,0.001904,0.015107,0.007317,0.04,0.04,0.5,0.00015,0.00075
1,2,0.02424,0.01344,87.98,42.61,0.000606,0.000336,0.008798,0.004261,0,0,0,0,0
2,3,0.03939,0.02184,44.04,21.33,0.00098475,0.000546,0.004404,0.002133,0,0,0,0,0
3,4,0.01515,0.0084,47.14,22.83,0.00037875,0.00021,0.004714,0.002283,0,0,0.2,0,0
4,5,0.0303,0.0168,91.87,44.49,0.0007575,0.00042,0.009187,0.004449,0,0,0,0,0
5,6,0.0303,0.0168,0,0,0.0007575,0.00042,0,0,0.04,0.05,0,0.00012,0.0006
1,7,0.03636,0.02016,33.66,16.3,0.000909,0.000504,0.003366,0.00163,0.02,0.03,0,0.00014,0.0007
7,8,0.02828,0.01568,111.12,53.82,0.000707,0.000392,0.011112,0.005382,0,0,0,0,0
8,9,0.01919,0.01064,59.2,28.67,0.00047975,0.000266,0.00592,0.002867,0,0,0,0,0
9,10,0.03737,0.02072,189.47,91.77,0.00093425,0.000518,0.018947,0.009177,0,0,0.5,0,0
10,11,0.03232,0.01792,45.09,21.83,0.000808,0.000448,0.004509,0.002183,0,0,0,0,0
11,12,0.02424,0.01344,66.96,32.43,0.000606,0.000336,0.006696,0.003243,0,0,0,0,0
7,13,0.04848,0.02688,0,0,0.001212,0.000672,0,0,0.008,0.01,0,0.00017,0.00085
13,14,0.002222,0.001232,57.28,27.74,0.00005555,0.0000308,0.005728,0.002774,0,0,0,0,0
14,15,0.03232,0.01792,44.78,21.69,0.000808,0.000448,0.004478,0.002169,0,0,0.2,0,0
15,16,0.0303,0.0168,0,0,0.0007575,0.00042,0,0,0,0,0,0,0
16,17,0.00808,0.00448,215.28,104.27,0.000202,0.000112,0.021528,0.010427,0.02,0.03,0,0.00025,0.00125
17,18,0.02222,0.01232,100.45,48.65,0.0005555,0.000308,0.010045,0.004865,0,0,0.5,0,0
18,19,0.03434,0.01904,209.15,101.29,0.0008585,0.000476,0.020915,0.010129,0,0,0,0,0
19,20,0.03232,0.01792,214.9,104.09,0.000808,0.000448,0.02149,0.010409,0,0,0.5,0,0
20,21,0.02222,0.01232,76.11,36.87,0.0005555,0.000308,0.007611,0.003687,0,0,0,0,0
21,22,0.04545,0.0252,0,0,0.00113625,0.00063,0,0,0.02,0.02,0,0.00018,0.0009
